𤭢	〔亠瓦ww〕
忞	〔文心wx〕
鳘	〔𠂉鱼py〕
苠	〔艹民cm〕
明	〔日月oo〕
名	〔夕口xk〕
命	〔𠆢卩re〕
鸣	〔口鸟kn〕
冥	〔冖六bl〕
铭	〔钅口jk〕
茗	〔艹口ck〕
瞑	〔目六ol〕
溟	〔氵六dl〕
酩	〔酉口yk〕
暝	〔日六ol〕
螟	〔虫六il〕
洺	〔氵口dk〕
谬	〔讠彡yp〕
魔	〔广鬼gg〕
莫	〔艹大cd〕
默	〔{里}犬lq〕
模	〔木大md〕
摸	〔扌大fd〕
磨	〔广石gu〕
末	〔一木am〕
漠	〔氵大dd〕
墨	〔{里}土lt〕
麽	〔广么gm〕
陌	〔⻖百eb〕
寞	〔宀大bd〕
蓦	〔艹马cm〕
沫	〔氵末dw〕
膜	〔⺼大od〕
茉	〔艹末cw〕
嬷	〔女么nm〕
蘑	〔艹石cu〕
摹	〔艹手cu〕
馍	〔饣大ud〕
谟	〔讠大yd〕
嫫	〔女大nd〕
秣	〔禾末hw〕
殁	〔歹殳du〕
貊	〔豸百vb〕
靺	〔革末gw〕
貘	〔豸大vd〕
镆	〔钅大jd〕
瘼	〔疒大bd〕
耱	〔耒石lu〕
万	〔丆𠃌av〕
无	〔一尢ay〕
藦	〔艹手cu〕
𬙊	〔纟土st〕
某	〔甘木gm〕
谋	〔讠木ym〕
眸	〔目牛on〕
牟	〔厶牛sn〕
哞	〔口牛kn〕
鍪	〔矛金mj〕
侔	〔亻牛rn〕
蛑	〔虫牛in〕
目	〔囗二ke〕
母	〔{𠃊𠃌一(母-丶丶)}丶md〕
木	〔十人ur〕
慕	〔艹⺗cx〕
幕	〔艹巾cj〕
姆	〔女母nm〕
穆	〔禾彡hp〕
牧	〔牜攵nw〕
墓	〔艹土ct〕
沐	〔氵木dm〕
暮	〔艹日co〕
拇	〔扌母fm〕
牡	〔牜土nt〕
亩	〔亠田wt〕
募	〔艹力cl〕
睦	〔目土ot〕
苜	〔艹目co〕
呒	〔口无kw〕
钼	〔钅目jo〕
毪	〔毛牛mn〕
仫	〔亻么rm〕
𧿹	〔𧾷母zm〕
𬭁	〔钅母jm〕
那	〔𭃂⻏ve〕
哪	〔口⻏ke〕
拿	〔𠆢手ru〕
娜	〔女⻏ne〕
纳	〔纟内sn〕
呐	〔口内kn〕
捺	〔扌示fu〕
衲	〔衤内pn〕
钠	〔钅内jn〕
肭	〔⺼内on〕
镎	〔钅手ju〕
乸	〔也母ym〕
南	〔十干ug〕
𦰡	〔艹⻏ce〕
奶	〔女乃nn〕
奈	〔大示du〕
耐	〔而寸ec〕
乃	〔𠄎丿vp〕
鼐	〔乃目no〕
氖	〔气乃qn〕
萘	〔艹示cu〕
艿	〔艹乃cn〕
柰	〔木示mu〕
佴	〔亻耳re〕
迺	〔辶西zx〕
难	〔又{隹右}yv〕
男	〔田力tl〕
喃	〔口干kg〕
楠	〔木干mg〕
囡	〔囗女kn〕
赧	〔赤又iy〕
腩	〔⺼干og〕
蝻	〔虫干ig〕
萳	〔艹干cg〕
婻	〔女干ng〕
囊	〔𰀉𧘇gy〕
囔	〔口𧘇ky〕
馕	〔饣𧘇uy〕
攮	〔扌𧘇fy〕
曩	〔日襄ox〕
齉	〔自𧘇zy〕
脑	〔⺼凶ox〕
闹	〔门巾mj〕
恼	〔忄凶xx〕
挠	〔扌兀fw〕
瑙	〔𤣩㐅wx〕
孬	〔不子bz〕
呶	〔口又ky〕
淖	〔氵十du〕
猱	〔犭木qm〕
铙	〔钅兀jw〕
垴	〔土凶tx〕
蛲	〔虫兀iw〕
硇	〔石㐅ux〕
臑	〔⺼而oe〕
峱	〔犭山qu〕
呢	〔口匕kb〕
讷	〔讠内yn〕
内	〔冂人kr〕
馁	〔饣女un〕
嫩	〔女攵nw〕
恁	〔亻心rx〕
能	〔厶匕sb〕
你	〔亻小rx〕
尼	〔尸匕ub〕
妮	〔女匕nb〕
泥	〔氵匕db〕
逆	〔辶屰zn〕
拟	〔扌人fr〕
腻	〔⺼贝ob〕
倪	〔亻儿re〕
霓	〔雨儿ye〕
匿	〔匚口kk〕
溺	〔氵𢎥dg〕
昵	〔日匕ob〕
睨	〔目儿oe〕
旎	〔方匕fb〕
怩	〔忄匕xb〕
猊	〔犭儿qe〕
鲵	〔鱼儿ye〕
伲	〔亻匕rb〕
坭	〔土匕tb〕
铌	〔钅匕jb〕
麑	〔鹿儿le〕
薿	〔艹疋cz〕
𨺙	〔⻖儿ee〕
𫐐	〔车儿ie〕
𫠜	〔止儿ve〕
年	〔𠂉㐄pf〕
念	〔𠆢心rx〕
黏	〔禾占hv〕
拈	〔扌占fv〕
捻	〔扌心fx〕
碾	〔石{𧘇-丿}uy〕
撵	〔扌车fi〕
蔫	〔艹灬ch〕
廿	〔艹一ca〕
辇	〔夫车fi〕
鲇	〔鱼占yv〕
鲶	〔鱼心yx〕
埝	〔土心tx〕
粘	〔米占mv〕
娘	〔女良nl〕
酿	〔酉良yl〕
鸟	〔{鸟减一}一na〕
尿	〔尸水uu〕
袅	〔{鸟减一}衣ny〕
茑	〔艹鸟cn〕
脲	〔⺼水ou〕
捏	〔扌土ft〕
聂	〔耳又ey〕
孽	〔艹子cz〕
涅	〔氵土dt〕
蹑	〔𧾷又zy〕
嗫	〔口又ky〕
啮	〔口人kr〕
臬	〔自木zm〕
镊	〔钅又jy〕
镍	〔钅木jm〕
蘖	〔艹木cm〕
颞	〔耳页ey〕
糵	〔艹米cm〕
陧	〔⻖土et〕
嵲	〔山木um〕
菍	〔艹心cx〕
𫔶	〔门木mm〕
您	〔亻心rx〕
宁	〔宀丁bd〕
凝	〔冫疋dz〕
狞	〔犭丁qd〕
拧	〔扌丁fd〕
柠	〔木丁md〕
咛	〔口丁kd〕
泞	〔氵丁dd〕
佞	〔亻女rn〕
甯	〔宀用by〕
苧	〔艹丁cd〕
聍	〔耳丁ed〕
牛	〔𠂉十pu〕
扭	〔扌丑fi〕
纽	〔纟丑si〕
妞	〔女丑ni〕
钮	〔钅丑ji〕
忸	〔忄丑xi〕
狃	〔犭丑qi〕
农	〔冖𧘇by〕
浓	〔氵𧘇dy〕
哝	〔口𧘇ky〕
侬	〔亻𧘇ry〕
脓	〔⺼𧘇oy〕
秾	〔禾𧘇hy〕
𬪩	〔酉𧘇yy〕
耨	〔耒寸lc〕
怒	〔女心nx〕
努	〔女力nl〕
奴	〔女又ny〕
弩	〔女弓ng〕
驽	〔女马nm〕
孥	〔女子nz〕
傉	〔亻寸rc〕
胬	〔女肉nr〕
砮	〔女石nu〕
笯	〔竹又vy〕
暖	〔日又oy〕
诺	〔讠口yk〕
挪	〔扌⻏fe〕
懦	〔忄而xe〕
喏	〔口口kk〕
糯	〔米而me〕
傩	〔亻{隹右}rv〕
搦	〔扌𢎥fg〕
锘	〔钅口jk〕
女	〔𡿨一va〕
钕	〔钅女jn〕
恧	〔而心ex〕
衄	〔丿丑pi〕
虐	〔虍𰀂he〕
疟	〔疒𰀂be〕
噢	〔口大kd〕
喔	〔口土kt〕
欧	〔区欠qq〕
偶	〔亻丶rd〕
呕	〔口区kq〕
殴	〔区殳qu〕
鸥	〔区鸟qn〕
藕	〔艹丶cd〕
区	〔匚㐅kx〕
怄	〔忄区xq〕
瓯	〔区瓦qw〕
讴	〔讠区yq〕
沤	〔氵区dq〕
耦	〔耒丶ld〕
𠙶	〔凵了kl〕
𬉼	〔火区hq〕
怕	〔忄白xb〕
爬	〔爪巴vb〕
帕	〔巾白jb〕
啪	〔口白kb〕
趴	〔𧾷八zb〕
琶	〔𤣩巴wb〕
葩	〔艹巴cb〕
杷	〔木巴mb〕
筢	〔竹巴vb〕
舥	〔舟巴vb〕
潖	〔氵巴db〕
派	〔氵{𧘇}dy〕
排	〔扌非ff〕
拍	〔扌白fb〕
牌	〔片十pu〕
徘	〔彳非rf〕
湃	〔氵丰df〕
俳	〔亻非rf〕
哌	〔口{𧘇}ky〕
簰	〔竹十vu〕
蒎	〔艹{𧘇}cy〕
迫	〔辶白zb〕
盘	〔舟皿vm〕
判	〔半刂bd〕
叛	〔半又by〕
盼	〔目分of〕
潘	〔氵田dt〕
攀	〔木手mu〕
畔	〔田半tb〕
蹒	〔𧾷两zl〕
磐	〔舟石vu〕
蟠	〔虫田it〕
槃	〔舟木vm〕
爿	〔𠃊丨vl〕
泮	〔氵半db〕
袢	〔衤半pb〕
磻	〔石田ut〕
襻	〔衤手pu〕
胖	〔⺼半ob〕
旁	〔亠方wf〕
庞	〔广龙gl〕
彷	〔彳方rf〕
乓	〔丘丶qd〕
螃	〔虫方if〕
滂	〔氵方df〕
逄	〔辶㐄zf〕
雱	〔雨方yf〕
耪	〔耒方lf〕
鳑	〔鱼方yf〕
跑	〔𧾷包zb〕
泡	〔氵包db〕
抛	〔扌力fl〕
袍	〔衤包pb〕
咆	〔口包kb〕
庖	〔广包gb〕
狍	〔犭包qb〕
疱	〔疒包bb〕
匏	〔大包db〕
脬	〔⺼子oz〕
陪	〔⻖口ek〕
配	〔酉己yj〕
佩	〔亻巾rj〕
培	〔土口tk〕
赔	〔贝口bk〕
裴	〔非衣fy〕
沛	〔氵巿du〕
呸	〔口丕kp〕
胚	〔⺼丕op〕
帔	〔巾皮jp〕
辔	〔纟口sk〕
霈	〔雨巿yu〕
旆	〔方巿fu〕
醅	〔酉口yk〕
锫	〔钅口jk〕
衃	〔丿不pb〕
喷	〔口贝kb〕
盆	〔分皿fm〕
湓	〔氵皿dm〕
碰	〔石业uy〕
朋	〔月月oo〕
鹏	〔月鸟on〕
捧	〔扌𰀁ff〕
砰	〔石平up〕
蓬	〔艹丰cf〕
篷	〔竹丰vf〕
彭	〔士彡tp〕
棚	〔木月mo〕
膨	〔⺼彡op〕
澎	〔氵彡dp〕
怦	〔忄平xp〕
嘭	〔口彡kp〕
烹	〔亠灬wh〕
抨	〔扌平fp〕
芃	〔艹凡cf〕
硼	〔石月uo〕
蟛	〔虫彡ip〕
堋	〔土月to〕
椪	〔木业my〕
弸	〔弓月go〕
淜	〔氵月do〕
皮	〔{乛丿丨}又py〕
批	〔扌匕fb〕
屁	〔尸匕ub〕
疲	〔疒皮bp〕
匹	〔匚儿ke〕
劈	〔尸刀ud〕
披	〔扌皮fp〕
脾	〔⺼十ou〕
啤	〔口十ku〕
僻	〔亻辛rx〕
霹	〔雨辛yx〕
痞	〔疒口bk〕
譬	〔尸口uk〕
噼	〔口辛kx〕
琵	〔𤣩匕wb〕
癖	〔疒辛bx〕
媲	〔女匕nb〕
丕	〔不一ba〕
毗	〔田匕tb〕
坯	〔土丕tp〕
纰	〔纟匕sb〕
睥	〔目十ou〕
邳	〔不⻏be〕
砒	〔石匕ub〕
貔	〔豸匕vb〕
枇	〔木匕mb〕
罴	〔罒灬sh〕
圮	〔土己tj〕
鼙	〔士十tu〕
蚍	〔虫匕ib〕
铍	〔钅皮jp〕
郫	〔{卑上}⻏pe〕
仳	〔亻匕rb〕
伾	〔亻丕rp〕
蜱	〔虫十iu〕
埤	〔土十tu〕
嚭	〔士口tk〕
陴	〔⻖十eu〕
淠	〔氵丌dw〕
甓	〔尸瓦uw〕
狉	〔犭丕qp〕
澼	〔氵辛dx〕
鲏	〔鱼皮yp〕
䴙	〔尸鸟un〕
苉	〔艹匹cp〕
𬳵	〔马丕mp〕
片	〔丿𠃍pv〕
偏	〔亻卄rc〕
骗	〔马卄mc〕
篇	〔竹卄vc〕
翩	〔户习hx〕
骈	〔马开mk〕
蹁	〔𧾷卄zc〕
谝	〔讠卄yc〕
胼	〔⺼开ok〕
犏	〔牜卄nc〕
楩	〔木更mg〕
㛹	〔女更ng〕
𡎚	〔土卄tc〕
飘	〔覀风xf〕
漂	〔氵示du〕
票	〔覀示xu〕
瞟	〔目示ou〕
嫖	〔女示nu〕
瓢	〔覀瓜xg〕
缥	〔纟示su〕
剽	〔覀刂xd〕
朴	〔木卜mb〕
殍	〔歹子dz〕
嘌	〔口示ku〕
螵	〔虫示iu〕
蔈	〔艹示cu〕
薸	〔艹示cu〕
撇	〔扌攵fw〕
瞥	〔⺌目xo〕
苤	〔艹丕cp〕
氕	〔气丿qp〕
𬭯	〔钅攵jw〕
品	〔口口kk〕
拼	〔扌开fk〕
贫	〔分贝fb〕
频	〔止页vy〕
聘	〔耳丂ek〕
嫔	〔女八nb〕
颦	〔止十vu〕
姘	〔女开nk〕
牝	〔牜匕nb〕
玭	〔𤣩匕wb〕
𬞟	〔艹页cy〕
平	〔一十au〕
凭	〔亻几rj〕
评	〔讠平yp〕
瓶	〔丷瓦bw〕
萍	〔艹平cp〕
苹	〔艹平cp〕
坪	〔土平tp〕
乒	〔丘丿qp〕
娉	〔女丂nk〕
枰	〔木平mp〕
鲆	〔鱼平yp〕
俜	〔亻丂rk〕
泙	〔氵平dp〕
洴	〔氵开dk〕
帡	〔巾开jk〕
荓	〔艹开ck〕
蚲	〔虫平ip〕
涄	〔氵丂dk〕
玶	〔𤣩平wp〕
破	〔石皮up〕
婆	〔氵女dn〕
颇	〔皮页py〕
坡	〔土皮tp〕
魄	〔白鬼bg〕
泼	〔氵又dy〕
珀	〔𤣩白wb〕
叵	〔匚口kk〕
鄱	〔釆⻏ce〕
粕	〔米白mb〕
笸	〔竹口vk〕
皤	〔白田bt〕
钋	〔钅卜jb〕
钷	〔钅口jk〕
桲	〔木子mz〕
䥽	〔钅又jy〕
酦	〔酉又yy〕
剖	〔立刂ld〕
抔	〔扌不fb〕
裒	〔衣臼yj〕
掊	〔扌口fk〕
普	〔丷日bo〕
扑	〔扌卜fb〕
铺	〔钅甫jf〕
仆	〔亻卜rb〕
谱	〔讠日yo〕
葡	〔艹甫cf〕
菩	〔艹口ck〕
噗	〔口夫kf〕
浦	〔氵甫df〕
蒲	〔艹甫cf〕
濮	〔氵夫df〕
璞	〔𤣩夫wf〕
圃	〔囗甫kf〕
溥	〔氵寸dc〕
匍	〔勹甫bf〕
莆	〔艹甫cf〕
蹼	〔𧾷夫zf〕
氆	〔毛日mo〕
潽	〔氵日do〕
酺	〔酉甫yf〕
镨	〔钅日jo〕
镤	〔钅夫jf〕
蒱	〔艹甫cf〕
墣	〔土夫tf〕
穙	〔禾夫hf〕
起	〔土己tj〕
气	〔𠂉⺄pv〕
其	〔卄八cb〕
七	〔一乚av〕
器	〔口口kk〕
骑	〔马可mk〕
齐	〔文{⿰丿丨}wl〕
弃	〔亠廾wc〕
妻	〔{十⺕}女un〕
企	〔𠆢止rv〕
启	〔户口hk〕
旗	〔方八fb〕
欺	〔卄欠cq〕
岂	〔山己uj〕
汽	〔氵气dq〕
棋	〔木八mb〕
琪	〔𤣩八wb〕
泣	〔氵立dl〕
凄	〔冫女dn〕
漆	〔氵氺du〕
戚	〔戊小wx〕
契	〔丰大fd〕
乞	〔𠂉乙pv〕
祈	〔礻斤pj〕
麒	〔鹿八lb〕
歧	〔止支vv〕
琦	〔𤣩可wk〕
祁	〔礻⻏pe〕
绮	〔纟可sk〕
栖	〔木西mx〕
炁	〔旡灬wh〕
淇	〔氵八db〕
崎	〔山可uk〕
砌	〔石刀ud〕
蹊	〔𧾷大zd〕
祺	〔礻八pb〕
迄	〔辶乙zv〕
杞	〔木己mj〕
岐	〔山支uv〕
脐	〔⺼齐oq〕
颀	〔斤页jy〕
沏	〔氵刀dd〕
跂	〔𧾷支zv〕
憩	〔舌心ux〕
萋	〔艹女cn〕
嘁	〔口小kx〕
耆	〔老日lo〕
芑	〔艹己cj〕
蜞	〔虫八ib〕
讫	〔讠乙yv〕
祇	〔礻氏pu〕
鳍	〔鱼日yo〕
亓	〔一丌aw〕
葺	〔艹耳ce〕
柒	〔氵木dm〕
綦	〔卄糸cx〕
蕲	〔艹斤cj〕
畦	〔田土tt〕
芪	〔艹氏cu〕
圻	〔土斤tj〕
萁	〔艹八cb〕
骐	〔马八mb〕
欹	〔大欠dq〕
碛	〔石贝ub〕
汔	〔氵乙dv〕
锜	〔钅可jk〕
槭	〔木小mx〕
蛴	〔虫齐iq〕
屺	〔山己uj〕
玘	〔𤣩己wj〕
桤	〔木己mj〕
埼	〔土可tk〕
棨	〔户木hm〕
郪	〔{十⺕}⻏ue〕
磜	〔石示uu〕
鲯	〔鱼八yb〕
愭	〔忄日xo〕
碶	〔石大ud〕
俟	〔亻矢ru〕
婍	〔女可nk〕
洓	〔氵朿du〕
䓫	〔艹可ck〕
𨙸	〔支⻏ve〕
𬨂	〔车氏iu〕
恰	〔忄口xk〕
掐	〔扌臼fj〕
洽	〔氵口dk〕
拤	〔扌卜fb〕
葜	〔艹大cd〕
袷	〔衤口pk〕
髂	〔冎口gk〕
前	〔丷刂bd〕
钱	〔钅戋jj〕
千	〔丿十pu〕
潜	〔氵曰do〕
牵	〔大牛dn〕
倩	〔亻⺝ro〕
浅	〔氵戋dj〕
签	〔竹佥vq〕
歉	〔兼欠jq〕
欠	〔⺈人dr〕
乾	〔十乙uv〕
谦	〔讠兼yj〕
迁	〔辶千zq〕
遣	〔辶㠯zl〕
茜	〔艹西cx〕
芊	〔艹千cq〕
嵌	〔山欠uq〕
虔	〔虍文hw〕
铅	〔钅口jk〕
谴	〔讠㠯yl〕
钳	〔钅甘jg〕
黔	〔{里}㇇lv〕
堑	〔车土it〕
骞	〔宀马bm〕
佥	〔𠆢一ra〕
仟	〔亻千rq〕
缱	〔纟㠯sl〕
纤	〔纟千sq〕
阡	〔⻖千eq〕
钎	〔钅千jq〕
钤	〔钅㇇jv〕
掮	〔扌⺝fo〕
芡	〔艹欠cq〕
荨	〔艹寸cc〕
扦	〔扌千fq〕
愆	〔彳心rx〕
悭	〔忄土xt〕
搴	〔宀手bu〕
慊	〔忄兼xj〕
褰	〔宀衣by〕
汧	〔氵开dk〕
肷	〔⺼欠oq〕
蒨	〔艹⺝co〕
靬	〔革干gg〕
椠	〔车木im〕
杄	〔木千mq〕
鹐	〔⺈鸟dn〕
岍	〔山开uk〕
圲	〔土千tq〕
伣	〔亻见rj〕
墘	〔土乙tv〕
磏	〔石兼uj〕
𬘬	〔纟⺝so〕
枪	〔木㔾mv〕
墙	〔土口tk〕
抢	〔扌㔾fv〕
腔	〔⺼工og〕
呛	〔口㔾kv〕
跄	〔𧾷㔾zv〕
蔷	〔艹口ck〕
锵	〔钅寸jc〕
羌	〔⺶乚yv〕
戕	〔爿戈pg〕
戗	〔𠆢戈rg〕
襁	〔衤虫pi〕
嫱	〔女口nk〕
樯	〔木口mk〕
镪	〔钅虫ji〕
炝	〔火㔾hv〕
羟	〔羊𢀖yj〕
蜣	〔虫乚iv〕
玱	〔𤣩㔾wv〕
锖	〔钅⺝jo〕
蔃	〔艹虫ci〕
巧	〔工丂gk〕
悄	〔忄⺝xo〕
瞧	〔目灬oh〕
敲	〔亠又wy〕
桥	〔木{⿰丿丨}ml〕
乔	〔夭{⿰丿丨}yl〕
俏	〔亻⺝ro〕
翘	〔𫠠习yx〕
窍	〔宀丂bk〕
鞘	〔革⺝go〕
憔	〔忄灬xh〕
峭	〔山⺝uo〕
跷	〔𧾷兀zw〕
侨	〔亻{⿰丿丨}rl〕
樵	〔木灬mh〕
撬	〔扌毛fm〕
锹	〔钅火jh〕
谯	〔讠灬yh〕
橇	〔木毛mm〕
诮	〔讠⺝yo〕
荞	〔艹{⿰丿丨}cl〕
愀	〔忄火xh〕
劁	〔亻刂rd〕
硗	〔石兀uw〕
鞒	〔革{⿰丿丨}gl〕
硚	〔石{⿰丿丨}ul〕
缲	〔纟木sm〕
雀	〔小{隹右}xv〕
且	〔⺝一oa〕
切	〔七刀qd〕
窃	〔宀刀bd〕
怯	〔忄去xq〕
妾	〔立女ln〕
惬	〔忄夹xj〕
锲	〔钅大jd〕
挈	〔丰手fu〕
箧	〔竹夹vj〕
郄	〔㐅⻏xe〕
亲	〔立木lm〕
秦	〔𡗗禾ih〕
琴	〔𤣩㇇wv〕
侵	〔亻又ry〕
勤	〔廿力cl〕
寝	〔宀又by〕
擒	〔扌禸fn〕
钦	〔钅欠jq〕
芹	〔艹斤cj〕
沁	〔氵心dx〕
禽	〔𠆢禸rn〕
覃	〔覀十xu〕
噙	〔口禸kn〕
衾	〔𠆢衣ry〕
揿	〔扌欠fq〕
芩	〔艹㇇cv〕
溱	〔氵禾dh〕
吣	〔口心kx〕
嗪	〔口禾kh〕
锓	〔钅又jy〕
檎	〔木禸mn〕
骎	〔马又my〕
慬	〔忄王xw〕
嵚	〔山欠uq〕
请	〔讠⺝yo〕
轻	〔车𢀖ij〕
清	〔氵⺝do〕
青	〔龶⺝fo〕
情	〔忄⺝xo〕
庆	〔广大gd〕
晴	〔日⺝oo〕
倾	〔亻页ry〕
卿	〔𠂎{艮}pg〕
擎	〔艹手cu〕
顷	〔匕页by〕
蜻	〔虫⺝io〕
箐	〔竹⺝vo〕
氢	〔气𢀖qj〕
罄	〔士缶tf〕
磬	〔士石tu〕
綮	〔户糸hx〕
氰	〔气⺝qo〕
黥	〔{里}小lx〕
檠	〔艹木cm〕
鲭	〔鱼⺝yo〕
苘	〔艹口ck〕
圊	〔囗⺝ko〕
碃	〔石⺝uo〕
庼	〔广页gy〕
勍	〔亠力wl〕
穷	〔宀力bl〕
琼	〔𤣩小wx〕
穹	〔宀弓bg〕
茕	〔艹十cu〕
邛	〔工⻏ge〕
筇	〔竹⻏ve〕
蛩	〔工虫gi〕
銎	〔工金gj〕
䓖	〔艹力cl〕
求	〔𬺰丶ud〕
球	〔𤣩求wq〕
秋	〔禾火hh〕
丘	〔斤一ja〕
邱	〔丘⻏qe〕
囚	〔囗人kr〕
裘	〔求衣qy〕
酋	〔丷酉by〕
虬	〔虫乚iv〕
糗	〔米犬mq〕
鳅	〔鱼火yh〕
蚯	〔虫丘iq〕
俅	〔亻求rq〕
泅	〔氵人dr〕
遒	〔辶酉zy〕
逑	〔辶求zq〕
楸	〔木火mh〕
犰	〔犭九qj〕
萩	〔艹火ch〕
蝤	〔虫酉iy〕
璆	〔𤣩彡wp〕
巯	〔𢀖𫶧ji〕
赇	〔贝求bq〕
鹙	〔禾鸟hn〕
鞧	〔革酉gy〕
鼽	〔自九zj〕
訄	〔九口jk〕
𨱇	〔钅求jq〕
去	〔土厶ts〕
取	〔耳又ey〕
趣	〔土又ty〕
曲	〔囗艹kc〕
屈	〔尸出ui〕
躯	〔身区uq〕
驱	〔马区mq〕
娶	〔耳女en〕
趋	〔土彐te〕
渠	〔氵木dm〕
觑	〔虍见hj〕
瞿	〔目{隹右}ov〕
岖	〔山区uq〕
蛐	〔虫曲iq〕
蛆	〔虫且iq〕
衢	〔彳{隹右}rv〕
祛	〔礻去pq〕
黢	〔{里}夂lw〕
癯	〔疒{隹右}bv〕
阒	〔门犬mq〕
龋	〔止禹vy〕
蕖	〔艹木cm〕
蘧	〔艹豕cu〕
朐	〔月句oj〕
璩	〔𤣩豕wu〕
劬	〔句力jl〕
磲	〔石木um〕
诎	〔讠出yi〕
蠼	〔虫又iy〕
袪	〔衤去pq〕
氍	〔目毛om〕
鸲	〔句鸟jn〕
麹	〔龶米fm〕
胠	〔⺼去oq〕
灈	〔氵{隹右}dv〕
鼩	〔臼句jj〕
竘	〔立句lj〕
戌	〔戊{一}wa〕
㭕	〔木去mq〕
䓛	〔艹出ci〕
坥	〔土且tq〕
𪨰	〔山曲uq〕
𫭟	〔土区tq〕
全	〔𠆢王rw〕
权	〔木又my〕
拳	〔龹手ju〕
劝	〔又力yl〕
泉	〔白水bu〕
犬	〔大丶dd〕
券	〔龹刀jd〕
蜷	〔虫㔾iv〕
痊	〔疒王bw〕
诠	〔讠王yw〕
荃	〔艹王cw〕
颧	〔艹页cy〕
绻	〔纟㔾sv〕
铨	〔钅王jw〕
筌	〔竹王vw〕
鬈	〔E㔾ev〕
醛	〔酉王yw〕
悛	〔忄夂xw〕
佺	〔亻王rw〕
畎	〔田犬tq〕
棬	〔木㔾mv〕
鳈	〔鱼水yu〕
辁	〔车王iw〕
婘	〔女㔾nv〕
瑔	〔𤣩水wu〕
𨟠	〔目⻏oe〕
却	〔去卩qe〕
确	〔石用uy〕
缺	〔缶夬fg〕
瘸	〔疒肉br〕
鹊	〔卄鸟cn〕
阙	〔门欠mq〕
阕	〔门天mt〕
榷	〔木{隹右}mv〕
炔	〔火夬hg〕
悫	〔士心tx〕
碏	〔石日uo〕
埆	〔土用ty〕
𬒈	〔⺍石xu〕
群	〔尹羊yy〕
裙	〔衤口pk〕
逡	〔辶夂zw〕
囷	〔囗禾kh〕
然	〔𱼀灬xh〕
染	〔氵木dm〕
燃	〔火灬hh〕
冉	〔冂土kt〕
髯	〔E冉er〕
苒	〔艹冉cr〕
蚺	〔虫冉ir〕
䎃	〔冉习rx〕
让	〔讠上yu〕
嚷	〔口襄kx〕
壤	〔土襄tx〕
攘	〔扌襄fx〕
瓤	〔襄瓜xg〕
禳	〔礻襄px〕
穰	〔禾襄hx〕
瀼	〔氵襄dx〕
蘘	〔艹襄cx〕
儴	〔亻襄rx〕
绕	〔纟兀sw〕
扰	〔扌尤fy〕
饶	〔饣兀uw〕
娆	〔女兀nw〕
桡	〔木兀mw〕
荛	〔艹兀cw〕
热	〔扌灬fh〕
惹	〔艹心cx〕
人	〔丿乀pn〕
任	〔亻士rt〕
认	〔讠人yr〕
忍	〔刃心rx〕
仁	〔亻二re〕
刃	〔刀丶dd〕
韧	〔韦刃wr〕
壬	〔丿士pt〕
饪	〔饣士ut〕
仞	〔亻刃rr〕
纫	〔纟刃sr〕
稔	〔禾心hx〕
荏	〔艹士ct〕
妊	〔女士nt〕
衽	〔衤士pt〕
轫	〔车刃ir〕
纴	〔纟士st〕
讱	〔讠刃yr〕
葚	〔艹八cb〕
仍	〔亻乃rn〕
扔	〔扌乃fn〕
日	〔囗一ka〕
驲	〔马日mo〕
容	〔宀谷bg〕
荣	〔艹木cm〕
融	〔鬲虫gi〕
蓉	〔艹谷cg〕
绒	〔纟十su〕
溶	〔氵谷dg〕
戎	〔戈十gu〕
榕	〔木谷mg〕
茸	〔艹耳ce〕
熔	〔火谷hg〕
冗	〔冖几bj〕
嵘	〔山木um〕
镕	〔钅谷jg〕
蝾	〔虫木im〕
狨	〔犭十qu〕
瑢	〔𤣩谷wg〕
肉	〔内人nr〕
柔	〔矛木mm〕
揉	〔扌木fm〕
蹂	〔𧾷木zm〕
糅	〔米木mm〕
鞣	〔革木gm〕
𫐓	〔车木im〕
如	〔女口nk〕
入	〔丿乀pn〕
辱	〔辰寸ic〕
乳	〔爫乚vv〕
儒	〔亻而re〕
茹	〔艹口ck〕
汝	〔氵女dn〕
蠕	〔虫而ie〕
孺	〔子而ze〕
褥	〔衤寸pc〕
嚅	〔口而ke〕
濡	〔氵而de〕
缛	〔纟寸sc〕
襦	〔衤而pe〕
溽	〔氵寸dc〕
蓐	〔艹寸cc〕
洳	〔氵口dk〕
薷	〔艹而ce〕
颥	〔雨页yy〕
嬬	〔女而ne〕
铷	〔钅口jk〕
软	〔车欠iq〕
阮	〔⻖元ey〕
堧	〔土大td〕
瓀	〔𤣩而we〕
媆	〔女大nd〕
瑞	〔𤣩而we〕
锐	〔钅兄jx〕
蕊	〔艹心cx〕
睿	〔⺊目bo〕
芮	〔艹内cn〕
蚋	〔虫内in〕
蕤	〔艹生cu〕
枘	〔木内mn〕
汭	〔氵内dn〕
润	〔氵王dw〕
闰	〔门王mw〕
若	〔艹口ck〕
弱	〔𢎥𢎥gg〕
偌	〔亻口rk〕
箬	〔竹口vk〕
婼	〔女口nk〕
爇	〔艹灬ch〕
蒻	〔艹𢎥cg〕
鄀	〔艹⻏ce〕
撒	〔扌攵fw〕
洒	〔氵西dx〕
飒	〔立风lf〕
仨	〔亻三rs〕
萨	〔艹厂ci〕
卅	〔一川ai〕
靸	〔革及gj〕
